tempreature/J                            E/J                                     Cv                                    m                                  chi
5.000000000000e-01                    -2.000021864844e+00                    2.986892858004e-05                    1.000000000000e+00                    0.000000000000e+00                    
6.000000000000e-01                    -2.000175305078e+00                    1.101407919897e-04                    9.999964843750e-01                    5.434733072921e-06                    
7.000000000000e-01                    -1.999963456641e+00                    1.941134866788e-03                    9.999694531250e-01                    6.099260602678e-05                    
8.000000000000e-01                    -1.999901794141e+00                    4.509706161666e-03                    9.999128125000e-01                    1.780814208985e-04                    
9.000000000000e-01                    -1.999348295703e+00                    1.080360591702e-02                    9.997762500000e-01                    6.555953776042e-04                    
1.000000000000e+00                    -1.997481850781e+00                    2.381005258027e-02                    9.991944531250e-01                    1.479745214844e-03                    
1.100000000000e+00                    -1.993734311328e+00                    3.758149105421e-02                    9.984086718750e-01                    3.272288441051e-03                    
1.200000000000e+00                    -1.988558023438e+00                    6.684110891804e-02                    9.970255468750e-01                    6.211849527995e-03                    
1.300000000000e+00                    -1.980518214844e+00                    9.699181119485e-02                    9.947733593750e-01                    2.373592375300e-02                    
1.400000000000e+00                    -1.968546630078e+00                    1.412208047387e-01                    9.908930468750e-01                    3.855588936942e-02                    
1.500000000000e+00                    -1.950463381250e+00                    1.902141790033e-01                    9.863066406250e-01                    1.253320253255e-01                    
1.600000000000e+00                    -1.926688749609e+00                    2.567200137855e-01                    9.789260156250e-01                    1.741018950195e-01                    
1.700000000000e+00                    -1.894473384766e+00                    3.267882872844e-01                    9.696253125000e-01                    2.916673591452e-01                    
1.800000000000e+00                    -1.857492388281e+00                    4.233988969288e-01                    9.570016406250e-01                    5.117468212348e-01                    
1.900000000000e+00                    -1.811399516016e+00                    5.046295108165e-01                    9.390407031250e-01                    8.319017171567e-01                    
2.000000000000e+00                    -1.754294393359e+00                    5.938512137194e-01                    9.178011718750e-01                    1.181485531348e+00                    
2.100000000000e+00                    -1.687141517188e+00                    6.670510709221e-01                    8.944919531250e-01                    1.689941186151e+00                    
2.200000000000e+00                    -1.622148884375e+00                    7.006965403279e-01                    8.661905468750e-01                    1.969397489702e+00                    
2.300000000000e+00                    -1.540200346484e+00                    7.623415054315e-01                    8.352817187500e-01                    2.250674179136e+00                    
2.400000000000e+00                    -1.457163226563e+00                    7.646735154646e-01                    7.997918750000e-01                    2.398860961426e+00                    
2.500000000000e+00                    -1.375558564844e+00                    7.669285331377e-01                    7.611369531250e-01                    2.538297633398e+00                    
2.600000000000e+00                    -1.302128135547e+00                    7.585027410290e-01                    7.280817187500e-01                    2.555125677960e+00                    
2.700000000000e+00                    -1.219820207812e+00                    7.142610801765e-01                    6.948503906250e-01                    2.387543644423e+00                    
2.800000000000e+00                    -1.142089657031e+00                    6.723364352601e-01                    6.645650781250e-01                    2.279169881417e+00                    
2.900000000000e+00                    -1.084280814453e+00                    6.246646913334e-01                    6.288488281250e-01                    2.123368874259e+00                    
3.000000000000e+00                    -1.017195959766e+00                    5.794607354492e-01                    6.030526562500e-01                    1.964814825879e+00                    
3.100000000000e+00                    -9.609394914063e-01                    5.309151335609e-01                    5.719424218750e-01                    1.814636489069e+00                    
3.200000000000e+00                    -9.116170964844e-01                    4.848434823536e-01                    5.542070312500e-01                    1.692916473389e+00                    
3.300000000000e+00                    -8.597025574219e-01                    4.368233841314e-01                    5.271253906250e-01                    1.549776858546e+00                    
3.400000000000e+00                    -8.140366300781e-01                    4.030265875318e-01                    5.064525781250e-01                    1.439729466998e+00                    
3.500000000000e+00                    -7.761773671875e-01                    3.653123743489e-01                    4.891522656250e-01                    1.330534144922e+00                    
