tempreature/J                            E/J                                     Cv                                    m                                  chi
5.000000000000e-01                    -2.000000000000e+00                    0.000000000000e+00                    1.000000000000e+00                    0.000000000000e+00                    
6.000000000000e-01                    -2.000000000000e+00                    0.000000000000e+00                    1.000000000000e+00                    0.000000000000e+00                    
7.000000000000e-01                    -2.000000000000e+00                    0.000000000000e+00                    9.999707031250e-01                    0.000000000000e+00                    
8.000000000000e-01                    -1.999867187500e+00                    8.534851074219e-03                    9.999785156250e-01                    1.085357666016e-04                    
9.000000000000e-01                    -1.999335937500e+00                    1.368748794367e-02                    9.997636718750e-01                    8.260091145834e-04                    
1.000000000000e+00                    -1.997648437500e+00                    2.354492187500e-02                    9.992441406250e-01                    1.768872070313e-03                    
1.100000000000e+00                    -1.993023437500e+00                    2.851199315599e-02                    9.988632812500e-01                    3.342751242898e-03                    
1.200000000000e+00                    -1.989507812500e+00                    5.484670003255e-02                    9.972910156250e-01                    6.696838378906e-03                    
1.300000000000e+00                    -1.978503906250e+00                    8.947710567678e-02                    9.940253906250e-01                    1.019289926382e-02                    
1.400000000000e+00                    -1.971503906250e+00                    1.300375926738e-01                    9.908164062500e-01                    1.126812744141e-02                    
1.500000000000e+00                    -1.949468750000e+00                    1.818351779514e-01                    9.852265625000e-01                    2.480724283854e-02                    
1.600000000000e+00                    -1.934890625000e+00                    2.232556152344e-01                    9.798769531250e-01                    3.086940765381e-02                    
1.700000000000e+00                    -1.903609375000e+00                    2.996582200205e-01                    9.686796875000e-01                    7.444785443474e-02                    
1.800000000000e+00                    -1.867417968750e+00                    3.374906262056e-01                    9.524121093750e-01                    1.631999443902e-01                    
1.900000000000e+00                    -1.808675781250e+00                    4.027429909323e-01                    9.430527343750e-01                    2.775884174548e-01                    
2.000000000000e+00                    -1.762886718750e+00                    4.763442260742e-01                    9.235429687500e-01                    3.560501586914e-01                    
2.100000000000e+00                    -1.707468750000e+00                    5.162695976828e-01                    9.006601562500e-01                    4.605380626860e-01                    
2.200000000000e+00                    -1.623304687500e+00                    5.909076079061e-01                    8.559296875000e-01                    5.688168390447e-01                    
2.300000000000e+00                    -1.535988281250e+00                    6.221693717509e-01                    8.306425781250e-01                    7.921888640031e-01                    
2.400000000000e+00                    -1.484359375000e+00                    6.217841423882e-01                    7.882929687500e-01                    8.137516225179e-01                    
2.500000000000e+00                    -1.363476562500e+00                    6.354677734375e-01                    7.561269531250e-01                    1.020287700195e+00                    
2.600000000000e+00                    -1.299140625000e+00                    6.201208423863e-01                    7.480390625000e-01                    1.020098698543e+00                    
2.700000000000e+00                    -1.212710937500e+00                    6.016317033179e-01                    6.924492187500e-01                    1.002886289243e+00                    
2.800000000000e+00                    -1.138046875000e+00                    5.919593717614e-01                    6.827128906250e-01                    1.095634582520e+00                    
2.900000000000e+00                    -1.088804687500e+00                    5.418472881521e-01                    6.276230468750e-01                    1.057947825465e+00                    
3.000000000000e+00                    -1.034261718750e+00                    4.999477213542e-01                    6.096015625000e-01                    1.075005664062e+00                    
3.100000000000e+00                    -9.437109375000e-01                    4.577898083864e-01                    5.655781250000e-01                    9.843641121157e-01                    
3.200000000000e+00                    -9.277109375000e-01                    4.036397695541e-01                    5.431093750000e-01                    1.103294685364e+00                    
3.300000000000e+00                    -8.685585937500e-01                    3.902403473657e-01                    5.270781250000e-01                    9.502935199160e-01                    
3.400000000000e+00                    -8.078398437500e-01                    3.455031831207e-01                    5.139746093750e-01                    9.499255406997e-01                    
3.500000000000e+00                    -7.739960937500e-01                    3.166225247130e-01                    4.886289062500e-01                    9.199286760603e-01                    
3.600000000000e+00                    -7.392382812500e-01                    3.087124445409e-01                    4.710800781250e-01                    8.548888041178e-01                    
3.700000000000e+00                    -6.847734375000e-01                    2.783989974719e-01                    4.581992187500e-01                    8.332455559808e-01                    
3.800000000000e+00                    -6.907382812500e-01                    2.440307042341e-01                    4.398867187500e-01                    7.470169741982e-01                    
3.900000000000e+00                    -6.808398437500e-01                    2.245346207779e-01                    4.292636718750e-01                    7.503200652294e-01                    
4.000000000000e+00                    -6.372421875000e-01                    2.200632568359e-01                    4.267871093750e-01                    7.082989624023e-01                    
4.100000000000e+00                    -6.038710937500e-01                    1.972419051625e-01                    4.021367187500e-01                    7.354378751429e-01                    
4.200000000000e+00                    -5.718867187500e-01                    1.836848155603e-01                    3.889394531250e-01                    6.957033662342e-01                    
4.300000000000e+00                    -5.647148437500e-01                    1.775312748234e-01                    3.895976562500e-01                    6.002321635402e-01                    
4.400000000000e+00                    -5.383984375000e-01                    1.617060108027e-01                    3.750390625000e-01                    6.053026039817e-01                    
4.500000000000e+00                    -5.102500000000e-01                    1.479986255787e-01                    3.672949218750e-01                    5.558523274740e-01                    
4.600000000000e+00                    -5.220195312500e-01                    1.370726477582e-01                    3.534902343750e-01                    5.399311523438e-01                    
4.700000000000e+00                    -4.922421875000e-01                    1.326478902006e-01                    3.554394531250e-01                    5.217931635431e-01                    
4.800000000000e+00                    -4.758710937500e-01                    1.238292058309e-01                    3.535820312500e-01                    4.839485626221e-01                    
4.900000000000e+00                    -4.854375000000e-01                    1.165677163324e-01                    3.498085937500e-01                    4.683419787349e-01                    
5.000000000000e+00                    -4.569804687500e-01                    1.109532031250e-01                    3.422246093750e-01                    4.695447338867e-01                    
5.100000000000e+00                    -4.567773437500e-01                    1.032702078227e-01                    3.498496093750e-01                    4.474793725107e-01                    
5.200000000000e+00                    -4.427382812500e-01                    9.733033490604e-02                    3.285761718750e-01                    4.189537799542e-01                    
5.300000000000e+00                    -4.290781250000e-01                    9.231291127570e-02                    3.264179687500e-01                    4.217506702351e-01                    
5.400000000000e+00                    -4.075312500000e-01                    9.276492104445e-02                    3.208945312500e-01                    3.793530929000e-01                    
5.500000000000e+00                    -4.212851562500e-01                    8.859966264205e-02                    3.202402343750e-01                    3.699558172053e-01                    
5.600000000000e+00                    -4.004414062500e-01                    8.541730296855e-02                    3.163984375000e-01                    3.575767037528e-01                    
5.700000000000e+00                    -3.707695312500e-01                    7.919881748471e-02                    3.122324218750e-01                    3.599876730400e-01                    
5.800000000000e+00                    -3.808945312500e-01                    7.571651354414e-02                    3.084140625000e-01                    3.447059452452e-01                    
5.900000000000e+00                    -3.684843750000e-01                    7.351459541529e-02                    3.097070312500e-01                    3.374252702099e-01                    
6.000000000000e+00                    -3.592109375000e-01                    6.617598605686e-02                    3.079160156250e-01                    3.171165913900e-01                    
