tempreature/J                              E                                     Cv                                    m                                  chi
5.000000000000e-01                    -8.057548428705e-01                    1.084169019214e-02                    3.497776735460e-01                    2.099049179048e-04                    
6.000000000000e-01                    -7.814905487805e-01                    2.529611994882e-02                    3.534808864916e-01                    1.992838160102e-04                    
7.000000000000e-01                    -7.626560623827e-01                    4.976355444373e-02                    3.448869606004e-01                    1.887621634594e-04                    
8.000000000000e-01                    -7.565470802064e-01                    7.474621711582e-02                    3.434154549719e-01                    1.825311639141e-04                    
9.000000000000e-01                    -7.549753517824e-01                    9.434613471416e-02                    3.449602485929e-01                    1.837684752887e-04                    
1.000000000000e+00                    -7.660875820826e-01                    1.154650497027e-01                    3.407456613508e-01                    1.910379219780e-04                    
1.100000000000e+00                    -7.384800773921e-01                    1.295838282942e-01                    3.335761022514e-01                    1.870489858754e-04                    
1.200000000000e+00                    -7.573111515009e-01                    1.450576592983e-01                    3.300786819887e-01                    1.898206579516e-04                    
1.300000000000e+00                    -7.167238860225e-01                    1.531110322962e-01                    3.201541979362e-01                    1.839126137173e-04                    
1.400000000000e+00                    -7.120876289869e-01                    1.603064050656e-01                    3.265848968105e-01                    1.831682661586e-04                    
1.500000000000e+00                    -6.716259498124e-01                    1.608305169585e-01                    3.130555816135e-01                    1.810089234112e-04                    
1.600000000000e+00                    -6.406037171670e-01                    1.658210220581e-01                    3.126242964353e-01                    1.752943286127e-04                    
1.700000000000e+00                    -6.294833255159e-01                    1.665954597879e-01                    3.077351078799e-01                    1.702373760264e-04                    
1.800000000000e+00                    -6.301951454034e-01                    1.633591707565e-01                    3.072768527205e-01                    1.636884256807e-04                    
1.900000000000e+00                    -6.254138836773e-01                    1.619553932035e-01                    3.016845684803e-01                    1.589178340874e-04                    
2.000000000000e+00                    -5.944584075985e-01                    1.611407694695e-01                    2.953681988743e-01                    1.535403174159e-04                    
2.100000000000e+00                    -5.869553119137e-01                    1.557642357878e-01                    2.924965994371e-01                    1.465545999139e-04                    
2.200000000000e+00                    -5.845942542214e-01                    1.507191637173e-01                    2.876031894934e-01                    1.434275103172e-04                    
2.300000000000e+00                    -5.519927181051e-01                    1.473962431531e-01                    2.799872185741e-01                    1.398439692691e-04                    
2.400000000000e+00                    -5.309793034709e-01                    1.446834080107e-01                    2.823950515947e-01                    1.339825492885e-04                    
2.500000000000e+00                    -5.396625938086e-01                    1.390084345110e-01                    2.825426829268e-01                    1.291617408106e-04                    
2.600000000000e+00                    -4.940215994371e-01                    1.344711000532e-01                    2.742344043152e-01                    1.264457208090e-04                    
2.700000000000e+00                    -4.955195942777e-01                    1.295915760475e-01                    2.700413930582e-01                    1.228262410173e-04                    
2.800000000000e+00                    -4.923927181051e-01                    1.230459317414e-01                    2.680986163227e-01                    1.187500236698e-04                    
2.900000000000e+00                    -4.800898569418e-01                    1.204725492525e-01                    2.730431519700e-01                    1.139851319284e-04                    
3.000000000000e+00                    -4.311487453096e-01                    1.182858776685e-01                    2.665928705441e-01                    1.109309541539e-04                    
3.100000000000e+00                    -4.555034591932e-01                    1.126527459455e-01                    2.609450046904e-01                    1.070283459694e-04                    
3.200000000000e+00                    -4.387495544090e-01                    1.067490345467e-01                    2.649427767355e-01                    1.055724155990e-04                    
3.300000000000e+00                    -3.982365619137e-01                    1.046755050925e-01                    2.623902439024e-01                    1.010616343425e-04                    
3.400000000000e+00                    -4.245089235460e-01                    9.717540775082e-02                    2.555670731707e-01                    9.853140167606e-05                    
3.500000000000e+00                    -4.001480300188e-01                    9.280994719605e-02                    2.581042448405e-01                    9.479077101184e-05                    
3.600000000000e+00                    -3.725170966229e-01                    9.102375618538e-02                    2.529535647280e-01                    9.202057291384e-05                    
3.700000000000e+00                    -3.736265830206e-01                    8.870697154872e-02                    2.525291979362e-01                    8.954263496130e-05                    
3.800000000000e+00                    -3.749631566604e-01                    8.405775974698e-02                    2.512406191370e-01                    8.699363975762e-05                    
3.900000000000e+00                    -3.685694418386e-01                    8.003122144949e-02                    2.467571529081e-01                    8.506076541844e-05                    
