tempreature/J                              E                                     Cv                                    m                                  chi
5.000000000000e-02                    -1.895000000000e+00                    0.000000000000e+00                    9.125000000000e-01                    0.000000000000e+00                    
1.000000000000e-01                    -1.940000000000e+00                    0.000000000000e+00                    9.150000000000e-01                    0.000000000000e+00                    
1.500000000000e-01                    -1.960000000000e+00                    0.000000000000e+00                    9.525000000000e-01                    0.000000000000e+00                    
2.000000000000e-01                    -1.997500000000e+00                    0.000000000000e+00                    9.975000000000e-01                    0.000000000000e+00                    
2.500000000000e-01                    -2.000000000000e+00                    0.000000000000e+00                    1.000000000000e+00                    0.000000000000e+00                    
3.000000000000e-01                    -2.000000000000e+00                    0.000000000000e+00                    1.000000000000e+00                    0.000000000000e+00                    
3.500000000000e-01                    -2.000000000000e+00                    0.000000000000e+00                    1.000000000000e+00                    0.000000000000e+00                    
4.000000000000e-01                    -2.000000000000e+00                    0.000000000000e+00                    1.000000000000e+00                    0.000000000000e+00                    
4.500000000000e-01                    -2.000000000000e+00                    0.000000000000e+00                    1.000000000000e+00                    0.000000000000e+00                    
5.000000000000e-01                    -2.000000000000e+00                    0.000000000000e+00                    1.000000000000e+00                    0.000000000000e+00                    
5.500000000000e-01                    -2.000000000000e+00                    0.000000000000e+00                    1.000000000000e+00                    0.000000000000e+00                    
6.000000000000e-01                    -2.000000000000e+00                    1.642286591721e-03                    9.999976547842e-01                    0.000000000000e+00                    
6.500000000000e-01                    -1.999981238274e+00                    0.000000000000e+00                    1.000000000000e+00                    5.255443970427e-09                    
7.000000000000e-01                    -2.000000000000e+00                    0.000000000000e+00                    9.999794793621e-01                    1.312028906120e-07                    
7.500000000000e-01                    -1.999723264540e+00                    4.358196042633e-03                    9.999794793621e-01                    4.824563671067e-08                    
8.000000000000e-01                    -1.999756097561e+00                    1.935364005646e-02                    9.999507504690e-01                    1.739494111275e-07                    
8.500000000000e-01                    -1.999629455910e+00                    2.175101786234e-02                    9.998469746717e-01                    3.847093867177e-07                    
9.000000000000e-01                    -1.999002110694e+00                    2.225941279313e-02                    9.996159709193e-01                    8.328593294536e-07                    
9.500000000000e-01                    -1.998579971857e+00                    3.147283376891e-02                    9.995503048780e-01                    5.419933625901e-07                    
1.000000000000e+00                    -1.997545731707e+00                    4.043060449366e-02                    9.993310272045e-01                    1.121242691001e-06                    
1.050000000000e+00                    -1.996208958724e+00                    6.321758146614e-02                    9.990759849906e-01                    2.339946528012e-06                    
1.100000000000e+00                    -1.993741791745e+00                    7.949507966148e-02                    9.982610225141e-01                    2.892230373288e-06                    
1.150000000000e+00                    -1.991937148218e+00                    8.220946707900e-02                    9.975867729831e-01                    3.583113412761e-06                    
1.200000000000e+00                    -1.988524859287e+00                    1.310995654335e-01                    9.972291275797e-01                    6.166100029942e-06                    
1.250000000000e+00                    -1.985043386492e+00                    1.495581793030e-01                    9.961468105066e-01                    7.723928779801e-06                    
1.300000000000e+00                    -1.983921200750e+00                    1.895916816301e-01                    9.948065196998e-01                    9.093065011647e-06                    
1.350000000000e+00                    -1.973696060038e+00                    2.165379682764e-01                    9.933507270169e-01                    1.227747023608e-05                    
1.400000000000e+00                    -1.966076454034e+00                    2.523123502329e-01                    9.909662288931e-01                    1.376877779404e-05                    
1.450000000000e+00                    -1.957342870544e+00                    3.423377952068e-01                    9.889100609756e-01                    4.027270489982e-05                    
1.500000000000e+00                    -1.948623358349e+00                    3.136562915925e-01                    9.849742026266e-01                    4.492049769908e-05                    
1.550000000000e+00                    -1.939584896811e+00                    4.173839954136e-01                    9.833946998124e-01                    5.697340251852e-05                    
1.600000000000e+00                    -1.927765009381e+00                    5.995195525214e-01                    9.790419793621e-01                    1.029323860416e-04                    
1.650000000000e+00                    -1.911269934334e+00                    5.204651508591e-01                    9.763443949343e-01                    9.832348625466e-05                    
1.700000000000e+00                    -1.906245309568e+00                    5.984106593819e-01                    9.699102954972e-01                    1.080711134162e-04                    
1.750000000000e+00                    -1.888816838649e+00                    7.060756657101e-01                    9.632903377111e-01                    1.077466227180e-04                    
1.800000000000e+00                    -1.854421904315e+00                    7.219422934275e-01                    9.543732410882e-01                    2.475020403839e-04                    
1.850000000000e+00                    -1.831029549719e+00                    8.514389546866e-01                    9.481566604128e-01                    2.919397390732e-04                    
1.900000000000e+00                    -1.802426125704e+00                    9.147126545699e-01                    9.371048311445e-01                    3.144211918578e-04                    
1.950000000000e+00                    -1.776844512195e+00                    9.212074734597e-01                    9.335858348968e-01                    4.238049601488e-04                    
2.000000000000e+00                    -1.748653846154e+00                    1.024778308910e+00                    9.125779784240e-01                    4.440370104912e-04                    
2.050000000000e+00                    -1.717244371482e+00                    1.108458698718e+00                    9.052720450281e-01                    6.244741964666e-04                    
2.100000000000e+00                    -1.684308161351e+00                    1.149943397461e+00                    8.894840525328e-01                    7.309560742272e-04                    
2.150000000000e+00                    -1.662394465291e+00                    1.214779642302e+00                    8.838479127580e-01                    7.183308402646e-04                    
2.200000000000e+00                    -1.619108818011e+00                    1.366375982047e+00                    8.677714587242e-01                    8.183329874789e-04                    
2.250000000000e+00                    -1.589974202627e+00                    1.349732471684e+00                    8.533067542214e-01                    8.658951486765e-04                    
2.300000000000e+00                    -1.564620075047e+00                    1.380739013462e+00                    8.357475375235e-01                    9.941902342872e-04                    
2.350000000000e+00                    -1.501539634146e+00                    1.381040350433e+00                    8.187388602251e-01                    9.530333546833e-04                    
2.400000000000e+00                    -1.472684099437e+00                    1.425364400671e+00                    7.938356003752e-01                    1.190303140601e-03                    
2.450000000000e+00                    -1.429883911820e+00                    1.360239917189e+00                    7.833642120075e-01                    1.205694935975e-03                    
2.500000000000e+00                    -1.377546904315e+00                    1.392941935802e+00                    7.633108583490e-01                    1.235267162714e-03                    
2.550000000000e+00                    -1.326989915572e+00                    1.380336483920e+00                    7.532786116323e-01                    1.270962002721e-03                    
2.600000000000e+00                    -1.298610459662e+00                    1.347808022950e+00                    7.197602016886e-01                    1.305700706100e-03                    
2.650000000000e+00                    -1.255352954972e+00                    1.342618595170e+00                    7.128148452158e-01                    1.570194194983e-03                    
2.700000000000e+00                    -1.217098968105e+00                    1.293126213210e+00                    6.867694652908e-01                    1.410989417179e-03                    
