tempreature/J                            E/J                                     Cv                                    m                                  chi
5.000000000000e-01                    -1.999799207875e+00                    8.818690204935e-05                    9.988070281250e-01                    2.240996295937e-04                    
6.000000000000e-01                    -1.999467385125e+00                    6.545528384067e-04                    9.965807875000e-01                    3.998720632807e-03                    
7.000000000000e-01                    -1.999042775750e+00                    1.918042434497e-03                    9.949251298750e-01                    6.557199346924e-03                    
8.000000000000e-01                    -1.997468149125e+00                    7.940657968576e-03                    9.960322992500e-01                    1.020764132539e-02                    
9.000000000000e-01                    -1.995103542625e+00                    1.230178927864e-02                    9.881304635625e-01                    3.958777891071e-02                    
1.000000000000e+00                    -1.992520206750e+00                    3.402593561487e-02                    9.891789156875e-01                    1.028511013902e-01                    
1.100000000000e+00                    -1.986886107625e+00                    5.369037967221e-02                    9.834185781875e-01                    6.279350307901e-02                    
1.200000000000e+00                    -1.982535383375e+00                    7.924628495884e-02                    9.784838342500e-01                    1.396424057471e-01                    
1.300000000000e+00                    -1.971905907000e+00                    1.199673473485e-01                    9.760399061875e-01                    2.170817269811e-01                    
1.400000000000e+00                    -1.955892107750e+00                    1.700507929691e-01                    9.674260630625e-01                    2.615279645077e-01                    
1.500000000000e+00                    -1.940783809625e+00                    2.260884165806e-01                    9.621328737500e-01                    2.739564256143e-01                    
1.600000000000e+00                    -1.918450130875e+00                    2.920113995184e-01                    9.542321770625e-01                    4.194662743602e-01                    
1.700000000000e+00                    -1.887075244875e+00                    3.859436526384e-01                    9.397316960000e-01                    5.226477380385e-01                    
1.800000000000e+00                    -1.843251105875e+00                    4.783049659026e-01                    9.319737192500e-01                    6.899707674745e-01                    
1.900000000000e+00                    -1.793909478750e+00                    6.010009160569e-01                    9.132686940000e-01                    7.724760020183e-01                    
2.000000000000e+00                    -1.725422194625e+00                    7.329220589577e-01                    8.788448193125e-01                    1.021911082532e+00                    
2.100000000000e+00                    -1.638136633250e+00                    9.058913923839e-01                    8.319277137500e-01                    1.523334247925e+00                    
2.200000000000e+00                    -1.519684951250e+00                    1.048445816552e+00                    7.407866361875e-01                    2.388643277900e+00                    
2.300000000000e+00                    -1.375868608625e+00                    1.073638389245e+00                    6.019792038125e-01                    3.891895226917e+00                    
2.400000000000e+00                    -1.231076511500e+00                    9.330150178834e-01                    4.367098313750e-01                    5.284561824623e+00                    
2.500000000000e+00                    -1.116444406250e+00                    7.933363791005e-01                    3.217052230000e-01                    5.983618913832e+00                    
2.600000000000e+00                    -1.032369241250e+00                    6.446370843137e-01                    2.426696075000e-01                    5.641628195194e+00                    
2.700000000000e+00                    -9.642144827500e-01                    5.593450854408e-01                    2.041955546875e-01                    4.950374219621e+00                    
2.800000000000e+00                    -9.096549982500e-01                    4.877331089399e-01                    1.703895690000e-01                    4.205611006627e+00                    
2.900000000000e+00                    -8.606934660000e-01                    4.325795865271e-01                    1.520639713750e-01                    3.451065321096e+00                    
3.000000000000e+00                    -8.169252745000e-01                    3.865554907234e-01                    1.369631591875e-01                    2.972794513138e+00                    
3.100000000000e+00                    -7.788245753750e-01                    3.492603646689e-01                    1.251591473750e-01                    2.564415319731e+00                    
3.200000000000e+00                    -7.455307723750e-01                    3.139654927024e-01                    1.174783377500e-01                    2.260710547966e+00                    
3.300000000000e+00                    -7.140081603750e-01                    2.842006843661e-01                    1.100403740000e-01                    1.946566219408e+00                    
3.400000000000e+00                    -6.856256492500e-01                    2.630079239177e-01                    1.032058262500e-01                    1.738279896603e+00                    
3.500000000000e+00                    -6.599629193750e-01                    2.418074842497e-01                    9.891177918750e-02                    1.543350516215e+00                    
3.600000000000e+00                    -6.357956451250e-01                    2.225208254637e-01                    9.450207318750e-02                    1.406943971282e+00                    
3.700000000000e+00                    -6.143718525000e-01                    2.074333661530e-01                    9.091642543750e-02                    1.273431053946e+00                    
3.800000000000e+00                    -5.944061433750e-01                    1.916559499019e-01                    8.778192662500e-02                    1.165203442054e+00                    
3.900000000000e+00                    -5.751361036250e-01                    1.797038722681e-01                    8.497688450000e-02                    1.075175197108e+00                    
4.000000000000e+00                    -5.571233720000e-01                    1.688744529647e-01                    8.279247350000e-02                    9.955863788657e-01                    
4.100000000000e+00                    -5.407660912500e-01                    1.576840705368e-01                    8.047763912500e-02                    9.195272602031e-01                    
4.200000000000e+00                    -5.249308478750e-01                    1.477185904848e-01                    7.840342762500e-02                    8.554669565104e-01                    
4.300000000000e+00                    -5.103982078750e-01                    1.397844265076e-01                    7.671239893750e-02                    8.089056845178e-01                    
4.400000000000e+00                    -4.966688410000e-01                    1.315635044614e-01                    7.492622975000e-02                    7.561487761878e-01                    
4.500000000000e+00                    -4.838665198750e-01                    1.242912008528e-01                    7.361523662500e-02                    7.124860309701e-01                    
4.600000000000e+00                    -4.715337457500e-01                    1.178085658036e-01                    7.229221100000e-02                    6.703787415105e-01                    
4.700000000000e+00                    -4.597233687500e-01                    1.123397372729e-01                    7.083841756250e-02                    6.377503797548e-01                    
4.800000000000e+00                    -4.487687168750e-01                    1.064071174337e-01                    6.973249756250e-02                    6.040251921650e-01                    
4.900000000000e+00                    -4.378041000000e-01                    1.013480117508e-01                    6.842914250000e-02                    5.723603425303e-01                    
5.000000000000e+00                    -4.280353763750e-01                    9.636314823529e-02                    6.758602568750e-02                    5.480324401097e-01                    
5.100000000000e+00                    -4.188110338750e-01                    9.180557397805e-02                    6.632290837500e-02                    5.254750856578e-01                    
5.200000000000e+00                    -4.095058641250e-01                    8.747461221727e-02                    6.563115381250e-02                    5.013121069149e-01                    
5.300000000000e+00                    -4.008226186250e-01                    8.427627846082e-02                    6.477171112500e-02                    4.777189190693e-01                    
5.400000000000e+00                    -3.926481875000e-01                    8.012281950117e-02                    6.423701518750e-02                    4.578361108051e-01                    
5.500000000000e+00                    -3.846191090000e-01                    7.709337245538e-02                    6.348899906250e-02                    4.426427928527e-01                    
5.600000000000e+00                    -3.773097391250e-01                    7.388290172055e-02                    6.290663006250e-02                    4.235870532686e-01                    
5.700000000000e+00                    -3.693522100000e-01                    7.087123467300e-02                    6.210103481250e-02                    4.113611661952e-01                    
5.800000000000e+00                    -3.627866531250e-01                    6.824880186053e-02                    6.135387218750e-02                    3.975825679523e-01                    
5.900000000000e+00                    -3.560503033750e-01                    6.568287457643e-02                    6.069132825000e-02                    3.825215723345e-01                    
6.000000000000e+00                    -3.494903242500e-01                    6.311344153547e-02                    6.044881218750e-02                    3.707040978969e-01                    
