tempreature/J                              E                                     Cv                                    m                                  chi
5.000000000000e-01                    -1.999797712125e+00                    6.626829839894e-05                    9.990996142500e-01                    1.205242190276e-10                    
5.500000000000e-01                    -1.999692194875e+00                    2.854039216532e-04                    9.984872110000e-01                    1.884703637892e-09                    
6.000000000000e-01                    -1.999474707750e+00                    1.047380300143e-03                    9.978493446250e-01                    4.368857481621e-09                    
6.500000000000e-01                    -1.999209962750e+00                    2.133055037453e-03                    9.953382385000e-01                    3.482857167308e-09                    
7.000000000000e-01                    -1.998625254250e+00                    4.351603705478e-03                    9.956598374375e-01                    1.615622566165e-08                    
7.500000000000e-01                    -1.998139122500e+00                    6.187373627605e-03                    9.923360576250e-01                    2.934885413254e-08                    
8.000000000000e-01                    -1.997365933625e+00                    2.074033625803e-02                    9.937055803125e-01                    2.859199115720e-08                    
8.500000000000e-01                    -1.996725724000e+00                    2.763105410613e-02                    9.906931857500e-01                    3.794594327198e-08                    
9.000000000000e-01                    -1.996371020875e+00                    3.514182112858e-02                    9.880069646875e-01                    4.218191482323e-08                    
9.500000000000e-01                    -1.993796233750e+00                    4.559091988089e-02                    9.853819966250e-01                    6.418033267845e-08                    
1.000000000000e+00                    -1.992495932750e+00                    7.100100326587e-02                    9.862814060625e-01                    9.386529598713e-08                    
1.050000000000e+00                    -1.990562348875e+00                    9.334899078696e-02                    9.839374897500e-01                    8.691021703052e-08                    
1.100000000000e+00                    -1.987832025375e+00                    1.112656588151e-01                    9.795929906250e-01                    2.277463129735e-07                    
1.150000000000e+00                    -1.983693741625e+00                    1.346603180996e-01                    9.787420031875e-01                    1.787043356435e-07                    
1.200000000000e+00                    -1.981553416000e+00                    1.705527128393e-01                    9.741367450625e-01                    3.145504827039e-07                    
1.250000000000e+00                    -1.975893533125e+00                    1.952956389087e-01                    9.719639073125e-01                    2.813520661678e-07                    
1.300000000000e+00                    -1.972427645000e+00                    2.286767018131e-01                    9.748763261250e-01                    3.554279611555e-07                    
1.350000000000e+00                    -1.965361703000e+00                    2.767429250046e-01                    9.690601228750e-01                    3.023816032822e-07                    
1.400000000000e+00                    -1.958991109125e+00                    3.385949946659e-01                    9.634501996875e-01                    3.353774836897e-07                    
1.450000000000e+00                    -1.951438434000e+00                    3.936737628424e-01                    9.639605771250e-01                    4.393230514973e-07                    
1.500000000000e+00                    -1.940401655875e+00                    4.527142745568e-01                    9.681607851875e-01                    6.133488724713e-07                    
1.550000000000e+00                    -1.929113328875e+00                    5.203503377523e-01                    9.496766805625e-01                    7.004638695682e-07                    
1.600000000000e+00                    -1.915679955000e+00                    5.807341175367e-01                    9.560392665625e-01                    6.105125184655e-07                    
1.650000000000e+00                    -1.903013718500e+00                    6.470689263623e-01                    9.483725919375e-01                    6.601600659997e-07                    
1.700000000000e+00                    -1.886900522250e+00                    7.734221719916e-01                    9.429602478750e-01                    6.620439262599e-07                    
1.750000000000e+00                    -1.869058235625e+00                    8.552164283862e-01                    9.384662566875e-01                    7.924009230421e-07                    
1.800000000000e+00                    -1.844847914375e+00                    9.704873830757e-01                    9.301772871250e-01                    8.442155456097e-07                    
1.850000000000e+00                    -1.823250419000e+00                    1.066123587441e+00                    9.221201528125e-01                    1.075103673932e-06                    
1.900000000000e+00                    -1.795055876375e+00                    1.197691480081e+00                    9.096961285625e-01                    1.093814646249e-06                    
