tempreature                            E                                     Cv                                    S
7.500000000000e-01                    -7.631471083108e+00                    1.460505356776e-01                    -7.011449971126e+00                    
8.000000000000e-01                    -7.664712775278e+00                    1.547133885389e-01                    -6.656626464520e+00                    
8.500000000000e-01                    -7.716997395740e+00                    2.030323130195e-01                    -6.133800367960e+00                    
9.000000000000e-01                    -7.740287740774e+00                    1.766356776478e-01                    -6.033825842017e+00                    
9.500000000000e-01                    -7.771451497150e+00                    1.822483420216e-01                    -5.792622635489e+00                    
1.000000000000e+00                    -7.836206900690e+00                    2.025824284188e-01                    -5.514711871684e+00                    
1.050000000000e+00                    -7.844139693969e+00                    2.297924047948e-01                    -5.205883581661e+00                    
1.100000000000e+00                    -7.868160576058e+00                    2.538825695224e-01                    -4.947320069064e+00                    
1.150000000000e+00                    -7.895442232223e+00                    2.817326690721e-01                    -4.699597610209e+00                    
1.200000000000e+00                    -7.892655889589e+00                    3.206386643464e-01                    -4.426047066783e+00                    
1.250000000000e+00                    -7.899402196220e+00                    3.815301557804e-01                    -4.123326264574e+00                    
1.300000000000e+00                    -7.895414773477e+00                    4.419524273166e-01                    -3.853251023001e+00                    
1.350000000000e+00                    -7.883429798980e+00                    5.455769749064e-01                    -3.525700189198e+00                    
1.400000000000e+00                    -7.850570177018e+00                    6.267189384081e-01                    -3.271032166172e+00                    
1.450000000000e+00                    -7.833603456346e+00                    7.868777116608e-01                    -2.940924999229e+00                    
1.500000000000e+00                    -7.795904758476e+00                    9.061558994299e-01                    -2.697178832808e+00                    
1.550000000000e+00                    -7.757447776778e+00                    1.071047570636e+00                    -2.433765301132e+00                    
1.600000000000e+00                    -7.712089048905e+00                    1.237183710891e+00                    -2.197190232149e+00                    
1.650000000000e+00                    -7.645243852385e+00                    1.432098826115e+00                    -1.957599482521e+00                    
1.700000000000e+00                    -7.587469114912e+00                    1.621676478198e+00                    -1.748148085981e+00                    
1.750000000000e+00                    -7.524005040504e+00                    1.870808131876e+00                    -1.523345232261e+00                    
1.800000000000e+00                    -7.437545850585e+00                    2.135230848418e+00                    -1.307410191938e+00                    
1.850000000000e+00                    -7.346657017702e+00                    2.391600355002e+00                    -1.113620231296e+00                    
1.900000000000e+00                    -7.225155955596e+00                    2.672220958719e+00                    -9.184468840331e-01                    
1.950000000000e+00                    -7.109134977498e+00                    2.860613882878e+00                    -7.718188762736e-01                    
2.000000000000e+00                    -6.974960504050e+00                    3.253344931197e+00                    -5.640564493449e-01                    
2.050000000000e+00                    -6.822475463546e+00                    3.447862596305e+00                    -4.262639039953e-01                    
2.100000000000e+00                    -6.657414845485e+00                    3.772385515672e+00                    -2.573912086068e-01                    
2.150000000000e+00                    -6.445037047705e+00                    3.982113348198e+00                    -1.170331546681e-01                    
2.200000000000e+00                    -6.234405184518e+00                    4.263794286512e+00                    3.324917223968e-02                    
2.250000000000e+00                    -6.003908454845e+00                    4.363824821266e+00                    1.391470465292e-01                    
2.300000000000e+00                    -5.724200180018e+00                    4.431564555301e+00                    2.443613509782e-01                    
2.350000000000e+00                    -5.460369300930e+00                    4.571223814467e+00                    3.580002598303e-01                    
2.400000000000e+00                    -5.227862562256e+00                    4.526238799160e+00                    4.207532736511e-01                    
2.450000000000e+00                    -4.988250441044e+00                    4.587894905030e+00                    5.054109984255e-01                    
2.500000000000e+00                    -4.740747530753e+00                    4.498956843012e+00                    5.556960510890e-01                    
2.550000000000e+00                    -4.513914383438e+00                    4.406240827076e+00                    5.979406541233e-01                    
2.600000000000e+00                    -4.330559567957e+00                    4.287386456258e+00                    6.228774127212e-01                    
2.650000000000e+00                    -4.146954983498e+00                    4.143570025821e+00                    6.391134048169e-01                    
2.700000000000e+00                    -3.996663570357e+00                    4.104354296621e+00                    6.719255503288e-01                    
2.750000000000e+00                    -3.859476747675e+00                    3.899523845481e+00                    6.591314097479e-01                    
2.800000000000e+00                    -3.698464902490e+00                    3.899939201166e+00                    7.005208024105e-01                    
2.850000000000e+00                    -3.592593963396e+00                    3.662882849868e+00                    6.679708585662e-01                    
2.900000000000e+00                    -3.484957791779e+00                    3.617280965194e+00                    6.848678373366e-01                    
2.950000000000e+00                    -3.400720456046e+00                    3.502124261598e+00                    6.769764186369e-01                    
3.000000000000e+00                    -3.306510267027e+00                    3.458868374837e+00                    6.898564317741e-01                    
3.050000000000e+00                    -3.197301122112e+00                    3.317632514611e+00                    6.751037056081e-01                    
3.100000000000e+00                    -3.153272751275e+00                    3.258943904981e+00                    6.728108081286e-01                    
3.150000000000e+00                    -3.068726360636e+00                    3.244402125119e+00                    6.898316659021e-01                    
3.200000000000e+00                    -2.985847032703e+00                    3.140550981458e+00                    6.778596574689e-01                    
3.250000000000e+00                    -2.924021362136e+00                    3.051334080451e+00                    6.657294580841e-01                    
3.300000000000e+00                    -2.861841656166e+00                    2.950488782406e+00                    6.483584734315e-01                    
3.350000000000e+00                    -2.804108538854e+00                    2.921840096568e+00                    6.536899253486e-01                    
3.400000000000e+00                    -2.756612829283e+00                    2.811870443571e+00                    6.284656605880e-01                    
3.450000000000e+00                    -2.693415901590e+00                    2.796439514783e+00                    6.379968754809e-01                    
3.500000000000e+00                    -2.651402676268e+00                    2.769770278898e+00                    6.399925740589e-01                    
3.550000000000e+00                    -2.597999447945e+00                    2.676839384436e+00                    6.187213491920e-01                    
3.600000000000e+00                    -2.540622190219e+00                    2.619527098630e+00                    6.101296116894e-01                    
3.650000000000e+00                    -2.502417953795e+00                    2.600039441270e+00                    6.127296346597e-01                    
3.700000000000e+00                    -2.455316651665e+00                    2.512661079505e+00                    5.895428350535e-01                    
3.750000000000e+00                    -2.413690873087e+00                    2.512147567422e+00                    5.993125421285e-01                    
3.800000000000e+00                    -2.387048448845e+00                    2.457164991009e+00                    5.849229204757e-01                    
3.850000000000e+00                    -2.346522076208e+00                    2.374723576096e+00                    5.601379149204e-01                    
3.900000000000e+00                    -2.301427422742e+00                    2.367074630811e+00                    5.666000619519e-01                    
3.950000000000e+00                    -2.257709786979e+00                    2.298471745933e+00                    5.464583948102e-01                    
4.000000000000e+00                    -2.230497785779e+00                    2.291608415338e+00                    5.504417125773e-01                    
4.050000000000e+00                    -2.197795283528e+00                    2.253065347210e+00                    5.409589145085e-01                    
4.100000000000e+00                    -2.168072583258e+00                    2.219615090297e+00                    5.329347025834e-01                    
4.150000000000e+00                    -2.132649504950e+00                    2.182777928769e+00                    5.236526213602e-01                    
4.200000000000e+00                    -2.103981806181e+00                    2.147624587144e+00                    5.138883636165e-01                    
4.250000000000e+00                    -2.063581062106e+00                    2.089628506132e+00                    4.942120593145e-01                    
4.300000000000e+00                    -2.035393747375e+00                    2.096594746567e+00                    5.036407877863e-01                    
4.350000000000e+00                    -2.011852721272e+00                    2.057865043575e+00                    4.904216195406e-01                    
4.400000000000e+00                    -1.984387158716e+00                    2.020761871751e+00                    4.779760637745e-01                    
4.450000000000e+00                    -1.967420198020e+00                    1.990157068223e+00                    4.671551151611e-01                    
4.500000000000e+00                    -1.932704230423e+00                    1.964000182632e+00                    4.602383884304e-01                    
4.550000000000e+00                    -1.910407680768e+00                    1.928406155471e+00                    4.467589255791e-01                    
4.600000000000e+00                    -1.893152067207e+00                    1.895372175729e+00                    4.336378194428e-01                    
4.650000000000e+00                    -1.863196879688e+00                    1.864283211516e+00                    4.225328917266e-01                    
4.700000000000e+00                    -1.839697281728e+00                    1.873640358800e+00                    4.321707776269e-01                    
4.750000000000e+00                    -1.809602064206e+00                    1.810097681027e+00                    4.028963834286e-01                    
4.800000000000e+00                    -1.802635367537e+00                    1.828210552935e+00                    4.155631310782e-01                    
4.850000000000e+00                    -1.774917779778e+00                    1.778846804948e+00                    3.929840775514e-01                    
4.900000000000e+00                    -1.759549186919e+00                    1.774552092845e+00                    3.940022136249e-01                    
4.950000000000e+00                    -1.738940054005e+00                    1.731706121148e+00                    3.734566092264e-01                    
5.000000000000e+00                    -1.709430591059e+00                    1.731531467694e+00                    3.780631992503e-01                    
5.050000000000e+00                    -1.699961932193e+00                    1.681743295451e+00                    3.515178686721e-01                    
5.100000000000e+00                    -1.674457797780e+00                    1.673177785393e+00                    3.505621545840e-01                    
5.150000000000e+00                    -1.662312199220e+00                    1.660207313792e+00                    3.455529484925e-01                    
5.200000000000e+00                    -1.636730825083e+00                    1.641467448259e+00                    3.382126633275e-01                    
5.250000000000e+00                    -1.616849204920e+00                    1.623111017223e+00                    3.303590501079e-01                    
5.300000000000e+00                    -1.605205016502e+00                    1.589649016524e+00                    3.120788120212e-01                    
5.350000000000e+00                    -1.589730525053e+00                    1.574100106779e+00                    3.051108019472e-01                    
5.400000000000e+00                    -1.569237515752e+00                    1.549829352109e+00                    2.928450594794e-01                    
5.450000000000e+00                    -1.550398511851e+00                    1.548912494643e+00                    2.953146727413e-01                    
5.500000000000e+00                    -1.538554623462e+00                    1.521212773344e+00                    2.796392917906e-01                    
5.550000000000e+00                    -1.518755475548e+00                    1.499643737139e+00                    2.684027537077e-01                    
5.600000000000e+00                    -1.504563144314e+00                    1.499973888097e+00                    2.711117049935e-01                    
5.650000000000e+00                    -1.492967392739e+00                    1.503812628410e+00                    2.758826273857e-01                    
5.700000000000e+00                    -1.478106258626e+00                    1.456007305724e+00                    2.460395236906e-01                    
5.750000000000e+00                    -1.461223450345e+00                    1.446052812786e+00                    2.417747377091e-01                    
5.800000000000e+00                    -1.449274623462e+00                    1.439597108985e+00                    2.394258214740e-01                    
5.850000000000e+00                    -1.435507422742e+00                    1.410840383255e+00                    2.214926012208e-01                    
5.900000000000e+00                    -1.420858325833e+00                    1.404065573060e+00                    2.189602864438e-01                    
5.950000000000e+00                    -1.407103510351e+00                    1.399941894893e+00                    2.181867396454e-01                    
6.000000000000e+00                    -1.397304674467e+00                    1.387091175966e+00                    2.107668190629e-01                    
6.050000000000e+00                    -1.385975541554e+00                    1.369621484886e+00                    1.999909800745e-01                    
6.100000000000e+00                    -1.372118907891e+00                    1.350217269176e+00                    1.877967566894e-01                    
6.150000000000e+00                    -1.361953603360e+00                    1.331561008120e+00                    1.756240090811e-01                    
