tempreature                            E                                     Cv                                    S
1.500000000000e+00                    -7.091703369141e+00                    4.194893896484e-01                    -5.596519292341e+00                    
1.600000000000e+00                    -7.069258483887e+00                    4.031659254456e-01                    -5.326693628529e+00                    
1.700000000000e+00                    -7.086219207764e+00                    4.178242885455e-01                    -5.041058537027e+00                    
1.800000000000e+00                    -7.044552398682e+00                    3.942760173882e-01                    -4.844344284699e+00                    
1.900000000000e+00                    -7.044089294434e+00                    4.227415693102e-01                    -4.568409652020e+00                    
2.000000000000e+00                    -7.018460327148e+00                    4.394703193359e-01                    -4.331415260508e+00                    
2.100000000000e+00                    -7.022924713135e+00                    4.420590343657e-01                    -4.160561707307e+00                    
2.200000000000e+00                    -6.997660339355e+00                    4.724765652743e-01                    -3.930521830288e+00                    
2.300000000000e+00                    -6.953401733398e+00                    5.306185770848e-01                    -3.656929971380e+00                    
2.400000000000e+00                    -6.917938171387e+00                    5.382962988281e-01                    -3.501820367184e+00                    
2.500000000000e+00                    -6.891800354004e+00                    6.076514670899e-01                    -3.254873947903e+00                    
2.600000000000e+00                    -6.818314788818e+00                    6.770055910081e-01                    -3.012504512529e+00                    
2.700000000000e+00                    -6.816381683350e+00                    7.173003423394e-01                    -2.856846447237e+00                    
2.800000000000e+00                    -6.753313690186e+00                    7.848582143729e-01                    -2.654149942641e+00                    
2.900000000000e+00                    -6.696177612305e+00                    8.747051105368e-01                    -2.442895228820e+00                    
3.000000000000e+00                    -6.634136688232e+00                    9.505581997070e-01                    -2.262084784383e+00                    
3.100000000000e+00                    -6.572065856934e+00                    1.034421834599e+00                    -2.086178587452e+00                    
3.200000000000e+00                    -6.511227264404e+00                    1.131867550430e+00                    -1.910889552111e+00                    
3.300000000000e+00                    -6.452119659424e+00                    1.248966496360e+00                    -1.732871369171e+00                    
3.400000000000e+00                    -6.363786560059e+00                    1.368163197309e+00                    -1.558232821066e+00                    
3.500000000000e+00                    -6.278428039551e+00                    1.423395531180e+00                    -1.440791346390e+00                    
3.600000000000e+00                    -6.163633789062e+00                    1.533125304905e+00                    -1.284812162053e+00                    
3.700000000000e+00                    -6.045005218506e+00                    1.668218718592e+00                    -1.122028772597e+00                    
3.800000000000e+00                    -5.960748443604e+00                    1.729327604980e+00                    -1.020885346157e+00                    
3.900000000000e+00                    -5.821558654785e+00                    1.837830471004e+00                    -8.841215632815e-01                    
4.000000000000e+00                    -5.709994110107e+00                    1.887355401611e+00                    -7.923219367383e-01                    
4.100000000000e+00                    -5.593271331787e+00                    2.052040646079e+00                    -6.453777848048e-01                    
4.200000000000e+00                    -5.458819702148e+00                    2.093999735863e+00                    -5.606429903935e-01                    
4.300000000000e+00                    -5.322427734375e+00                    2.160983221294e+00                    -4.672105785455e-01                    
4.400000000000e+00                    -5.152517547607e+00                    2.246574426658e+00                    -3.616201363358e-01                    
4.500000000000e+00                    -5.033737060547e+00                    2.266254983127e+00                    -3.004795537499e-01                    
4.600000000000e+00                    -4.879920227051e+00                    2.385015116869e+00                    -1.916467606418e-01                    
4.700000000000e+00                    -4.720113586426e+00                    2.325383900796e+00                    -1.603943424430e-01                    
4.800000000000e+00                    -4.594411834717e+00                    2.345554281972e+00                    -1.046473906861e-01                    
4.900000000000e+00                    -4.459361755371e+00                    2.411971899663e+00                    -2.962919905224e-02                    
5.000000000000e+00                    -4.310377838135e+00                    2.383066005469e+00                    6.312328582245e-03                    
5.100000000000e+00                    -4.199394775391e+00                    2.417248753064e+00                    5.921927425960e-02                    
5.200000000000e+00                    -4.062777313232e+00                    2.406365153151e+00                    9.681404429621e-02                    
5.300000000000e+00                    -3.934634338379e+00                    2.416992377469e+00                    1.401401105706e-01                    
5.400000000000e+00                    -3.837621582031e+00                    2.422158480315e+00                    1.739884133072e-01                    
5.500000000000e+00                    -3.727486022949e+00                    2.356189886586e+00                    1.793211281190e-01                    
5.600000000000e+00                    -3.625881744385e+00                    2.291679541539e+00                    1.818060900689e-01                    
5.700000000000e+00                    -3.533366149902e+00                    2.357912980829e+00                    2.378880994010e-01                    
5.800000000000e+00                    -3.435145782471e+00                    2.240813970063e+00                    2.145726651341e-01                    
5.900000000000e+00                    -3.366451385498e+00                    2.294617222466e+00                    2.599810614125e-01                    
6.000000000000e+00                    -3.266808654785e+00                    2.219499809163e+00                    2.528137501793e-01                    
6.100000000000e+00                    -3.191496734619e+00                    2.253796568984e+00                    2.894199722067e-01                    
6.200000000000e+00                    -3.123020172119e+00                    2.222438173395e+00                    2.948919385371e-01                    
6.300000000000e+00                    -3.043437713623e+00                    2.176804593680e+00                    2.947726674064e-01                    
6.400000000000e+00                    -2.977238311768e+00                    2.163699293404e+00                    3.066259064290e-01                    
6.500000000000e+00                    -2.914140411377e+00                    2.127595078651e+00                    3.066629767265e-01                    
6.600000000000e+00                    -2.833796508789e+00                    2.148373383271e+00                    3.353478824865e-01                    
6.700000000000e+00                    -2.788392425537e+00                    2.070477973123e+00                    3.116015115523e-01                    
6.800000000000e+00                    -2.740367645264e+00                    2.078515408505e+00                    3.286586510136e-01                    
6.900000000000e+00                    -2.691228271484e+00                    2.072654103190e+00                    3.387968786226e-01                    
7.000000000000e+00                    -2.649313690186e+00                    2.056479980120e+00                    3.425223894005e-01                    
7.100000000000e+00                    -2.597530364990e+00                    1.953167308401e+00                    3.036029684277e-01                    
7.200000000000e+00                    -2.551514099121e+00                    1.949224743618e+00                    3.130547679384e-01                    
7.300000000000e+00                    -2.505441436768e+00                    1.967259075476e+00                    3.334300859813e-01                    
7.400000000000e+00                    -2.457409240723e+00                    1.928803907966e+00                    3.248177441678e-01                    
7.500000000000e+00                    -2.419536407471e+00                    1.868850153939e+00                    3.027184964723e-01                    
7.600000000000e+00                    -2.373735198975e+00                    1.872195393291e+00                    3.147781705542e-01                    
7.700000000000e+00                    -2.337747711182e+00                    1.854230806520e+00                    3.138663516517e-01                    
7.800000000000e+00                    -2.303898590088e+00                    1.837853399032e+00                    3.132266455027e-01                    
7.900000000000e+00                    -2.261761688232e+00                    1.809554196716e+00                    3.067815669062e-01                    
8.000000000000e+00                    -2.223301055908e+00                    1.758206263947e+00                    2.863814891443e-01                    
