tempreature/J                              E                                     Cv                                    m                                  chi
5.000000000000e-01                    -3.990749738974e+00                    1.145882520565e-02                    9.926263936394e-01                    2.266032185179e-10                    
5.250000000000e-01                    -3.991970513051e+00                    4.925993606608e-04                    9.954378937894e-01                    4.703939666612e-08                    
5.500000000000e-01                    -3.990265130513e+00                    1.005777727835e-02                    9.886211161116e-01                    4.782496120521e-08                    
5.750000000000e-01                    -3.990269558956e+00                    9.712758205288e-03                    9.943466996700e-01                    1.187567619918e-08                    
6.000000000000e-01                    -3.994241920192e+00                    1.935985817804e-03                    9.916349354935e-01                    8.535490752812e-08                    
6.250000000000e-01                    -3.990261326133e+00                    2.973446596864e-03                    9.909559165917e-01                    1.026567833382e-07                    
6.500000000000e-01                    -3.986631935194e+00                    3.053883475150e-03                    9.847105520552e-01                    2.820648323918e-07                    
6.750000000000e-01                    -3.990724020402e+00                    3.414835124877e-02                    9.881045424542e-01                    3.206530612722e-07                    
7.000000000000e-01                    -3.984244584458e+00                    2.370154717119e-02                    9.880921602160e-01                    5.265902457545e-07                    
7.250000000000e-01                    -3.990407296730e+00                    9.632674875651e-03                    9.903212451245e-01                    6.350661528796e-07                    
7.500000000000e-01                    -3.986506654665e+00                    1.816520644043e-02                    9.850392229223e-01                    5.966548564844e-07                    
7.750000000000e-01                    -3.983276387639e+00                    4.310108114863e-02                    9.883683588359e-01                    7.561549898484e-07                    
8.000000000000e-01                    -3.980271731173e+00                    3.947256791385e-02                    9.897959615962e-01                    1.047183680563e-06                    
8.250000000000e-01                    -3.979428394839e+00                    3.088749650017e-02                    9.882760966097e-01                    6.715306508682e-07                    
8.500000000000e-01                    -3.986721584158e+00                    6.226709911078e-02                    9.878273507351e-01                    6.419437158397e-07                    
8.750000000000e-01                    -3.987500882088e+00                    4.883002692025e-02                    9.873038793879e-01                    9.313311035337e-07                    
9.000000000000e-01                    -3.980968076808e+00                    6.232092909150e-02                    9.884987248725e-01                    1.396469067146e-06                    
9.250000000000e-01                    -3.982786810681e+00                    6.393029656893e-02                    9.914450315031e-01                    7.996983886936e-07                    
9.500000000000e-01                    -3.989161080108e+00                    5.732210668999e-02                    9.886086588659e-01                    9.410613559302e-07                    
9.750000000000e-01                    -3.983242016202e+00                    7.568554031996e-02                    9.886156975698e-01                    8.029378334403e-07                    
1.000000000000e+00                    -3.985177221722e+00                    9.478438565728e-02                    9.911034353435e-01                    1.083055723118e-06                    
1.025000000000e+00                    -3.983823498350e+00                    9.440887481578e-02                    9.860463246325e-01                    1.162416114275e-06                    
