tempreature/J                              E                                     Cv                                    m                                  chi
5.000000000000e-01                    -4.249741336634e+00                    0.000000000000e+00                    1.000000000000e+00                    0.000000000000e+00                    
5.250000000000e-01                    -4.249750000000e+00                    2.418512613032e-04                    9.999999639964e-01                    0.000000000000e+00                    
5.500000000000e-01                    -4.250000000000e+00                    2.390541034296e-04                    9.999990189019e-01                    1.174672740666e-10                    
5.750000000000e-01                    -4.249994876238e+00                    0.000000000000e+00                    1.000000000000e+00                    9.290797194868e-12                    
6.000000000000e-01                    -4.249744232673e+00                    3.129778943241e-04                    9.999985508551e-01                    5.367503445874e-11                    
6.250000000000e-01                    -4.249973118812e+00                    2.874071169492e-04                    9.999966996700e-01                    1.625990141290e-10                    
6.500000000000e-01                    -4.249947772277e+00                    5.676401373805e-04                    9.999968736874e-01                    2.849816241802e-10                    
6.750000000000e-01                    -4.249948737624e+00                    1.151559282563e-03                    9.999906180618e-01                    6.464332800869e-10                    
7.000000000000e-01                    -4.249914282178e+00                    1.783814962119e-03                    9.999890189019e-01                    5.846301486334e-10                    
7.250000000000e-01                    -4.249859282178e+00                    2.566690537483e-03                    9.999830483048e-01                    7.504620847600e-10                    
7.500000000000e-01                    -4.249777001200e+00                    2.362574326840e-03                    9.999710351035e-01                    1.394455556911e-09                    
7.750000000000e-01                    -4.249694192169e+00                    3.027222341855e-03                    9.999612511251e-01                    2.151168689288e-09                    
8.000000000000e-01                    -4.249607376238e+00                    4.939226805676e-03                    9.999564866487e-01                    3.138091036255e-09                    
8.250000000000e-01                    -4.249417521752e+00                    5.690094645004e-03                    9.999463396340e-01                    4.310985280448e-09                    
8.500000000000e-01                    -4.249253261326e+00                    8.042162741122e-03                    9.999040144014e-01                    5.615718768955e-09                    
8.750000000000e-01                    -4.249099942244e+00                    1.008098976991e-02                    9.998634053405e-01                    6.668262556013e-09                    
9.000000000000e-01                    -4.248599862736e+00                    1.308233120542e-02                    9.998400930093e-01                    8.445659646004e-09                    
9.250000000000e-01                    -4.248309605461e+00                    1.623407876637e-02                    9.997984308431e-01                    1.069970290200e-08                    
9.500000000000e-01                    -4.247962933543e+00                    1.953672851122e-02                    9.997435013501e-01                    1.453500667463e-08                    
9.750000000000e-01                    -4.247240714071e+00                    2.323568199102e-02                    9.996843624362e-01                    1.763364667306e-08                    
